Page url,Poster,Name,Organizer,Description,Category,Highlights,Refund Policy,Address,Price,Date & Time
https://www.eventbrite.com/e/intro-to-oils-35hr-workshop-in-person-toronto-tickets-1981460287058,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1175690809%2F2861146728461%2F1%2Foriginal.20260123-223852?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=24%2C0%2C1010%2C505&s=882ab68f10eca7c6e756081c30e00dfd,Intro to Oils - 3.5hr Workshop - In-Person - Toronto,Jennifer Wigmore,"This a fun, hands-on, in-person, studio workshop ideal for beginners and those looking to strengthen their knowledge in oil paint.","Arts, Painting","Free parking, 3 hours 30 minutes, ages 16+, In person, Doors at 9:45 AM",Refunds up to 7 days before event,"1 Wiltshire Avenue, Toronto, ON M6N 2V7, Canada",49.26 CAD,Feb 28 at 10:00 AM EST
https://www.eventbrite.ca/e/hayden-ryann-live-at-dinas-tavern-tickets-1980399825188,https://cdn.evbuc.com/images/1175970191/2970759534411/1/logo.20260127-173614,Hayden Ryann Live at Dina's Tavern,Hayden Ryann,Catch Hayden Ryann’s live vibes and good times at Dina’s Tavern—come hang and enjoy the tunes!,"Music, Singer/Songwriter","2 hours, ages 19+, In person",No Refunds,"486 Spadina Avenue, Toronto, ON M5S 2H1, Canada",CAD 22.55,Mar 21 at 8:00 PM EDT
https://www.eventbrite.com/e/lean-six-sigma-green-belt-in-person-weekend-training-in-rockwood-co-tickets-1964708556180,https://cdn.evbuc.com/images/1170298789/2958041386231/1/logo.20251106-113845,"Lean Six Sigma Green Belt In-Person Weekend Training in Rockwood, CO",iCertGlobal,"Advance your career with our 4-day Lean Six Sigma Green Belt Weekend Bootcamp. Master DMAIC, improve quality, and drive measurable results!",,Free parking,Refunds up to 7 days before event,"73 Water Street North, Cambridge, ON N1R 7L6, Canada",1919.52 USD,Feb 21 at 9:00 AM EST
https://www.eventbrite.com/e/gay-men-speed-dating-toronto-fancy-a-go-singles-event-tickets-1979449900939,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F454463489%2F743519355293%2F1%2Foriginal.20220807-082634?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1000%2C500&s=5c5ab851555d03a880f4aac6fd57bc12,Gay Men Speed Dating | Toronto Fancy a Go? | Singles Event,MyCheekyGayDate,Gay Men Speed Dating | Toronto Fancy a Go? | Singles Event,"Home & Lifestyle, Dating","2 hours, In person",No Refunds,"244 Adelaide Street West, Toronto, ON M5H 1Y3, Canada",CAD 43.93 - CAD 48.19,Feb 24 at 7:00 PM EST
https://www.eventbrite.com/e/toronto-gay-men-singles-night-speed-dating-fancy-a-go-tickets-1982846390932,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F454465899%2F185643164872%2F1%2Foriginal.20220726-175628?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C828%2C414&s=4fcb515ca0fb0fdcc6d496bd2a040bd4,Toronto Gay Men Singles Night Speed Dating | Fancy a Go?,MyCheekyGayDate,Toronto Gay Men Singles Night Speed Dating | Fancy a Go?,"Home & Lifestyle, Dating","2 hours, In person",No Refunds,"244 Adelaide Street West, Toronto, ON M5H 1Y3, Canada",CAD 48.11 - CAD 50.23,Mar 7 at 7:30 PM EST
https://www.eventbrite.ca/e/ontario-muslim-academy-family-iftar-2026-tickets-1982532027663,https://cdn.evbuc.com/images/1176895035/1433372116813/1/logo.20260206-180650,Ontario Muslim Academy – Family Iftar 2026,Ontario Muslim Academy,A Night of Reflection • Community • Giving Hosted by: Ontario Muslim Academy,"Spirituality, Islam","3 hours 30 minutes, In person",No Refunds,"82 Beverly Street, Cambridge, ON N1R 3Z7, Canada",CAD 10.38 - CAD 37.54,Feb 28 at 4:30 PM
https://www.eventbrite.ca/e/hybrid-turkish-courses-winter-term-2026-registration-1976663694320,https://cdn.evbuc.com/images/1172702278/850516005453/1/logo.20251210-181401,Hybrid Turkish Courses - Winter Term 2026,Toronto Yunus Emre Institute,Hybrid Turkish Courses (A1& A2 & B1& B2),"Community, Language","152 days 3 hours, In person",Refunds up to 7 days before event,"2 Berkeley Street Suite 210, Toronto, ON M5A 4J5, Canada",117.03 CAD,Jan 29 at 10:00 AM EST
https://www.eventbrite.ca/e/oakville-wedding-expo-winter-2026-tickets-1849682623519,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1158790643%2F466519136421%2F1%2Foriginal.20251021-171043?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=e29266aeda662139091e8419686249b7,Oakville Wedding Expo Winter 2026,The Wedding Ring,"Plan your perfect wedding at the Oakville Wedding Expo! Pre-book FREE, or go VIP for $33.90 to skip the line, get perks & win prizes!",Other,"4 hours, In person",No Refunds,"2245 Speers Rd, Oakville, ON L6L 6X8, Canada",13.54 CAD - 37.61 CAD,Mar 8 at 11:00 AM EDT
https://www.eventbrite.ca/e/dream-woman-a-4-week-empowering-heels-series-tickets-1980928017024,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1175389157%2F5435525187%2F1%2Foriginal.20260120-215939?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=88553a6933a16915ceba0d362e5055f1,Dream Woman; A 4-Week Empowering Heels Series,Shaka Lee,"A beginner heels program that elevates your technique + confidence, ending in an empowering video shoot. Celebrate femininity + sisterhood!","Arts, Dance","No parking, 2 hours, ages 18+, In person",Refunds up to 4 days before event,"35 Golden Avenue #Suite 108, Toronto, ON M6R 2J5, Canada",20.00 CAD - 214.33 CAD,Feb 22 at 6:00 PM
https://www.eventbrite.com/e/cross-border-supply-chain-2026-pitfalls-opportunities-tickets-1980492466280,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1175877074%2F2326561883113%2F1%2Foriginal.20260126-201103?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C78%2C1920%2C960&s=6540024435c82d8e784b6d2f01a5a019,Cross Border Supply Chain 2026: Pitfalls & Opportunities,CSCMP Toronto Roundtable,Join the Toronto & Chicago CSCMP Roundtables once again for Cross Border Supply Chain 2026!,,"Free parking, 6 hours 30 minutes, In person, Doors at 3:00 PM",Refunds up to 7 days before event,"6 Queen Street West, Mississauga, ON L5H 1L4, Canada",CAD 50.0 - CAD 65.0,Feb 26 at 3:30 PM EST
